step,x,y,action,battery,mode
0,0,0,start,100,rest
1,1,0,right,99,patrol
2,1,0,stop,98,patrol
3,1,1,up,97,patrol
4,1,1,stop,96,patrol
5,1,2,up,95,patrol
6,2,2,right,94,patrol
7,2,2,stop,93,patrol
8,3,2,right,92,patrol
9,3,2,stop,91,patrol
10,3,2,stop,90,patrol
11,4,2,right,89,patrol
12,4,3,up,88,patrol
13,3,3,left,87,patrol
14,3,2,down,86,patrol
15,4,2,right,85,patrol
16,4,2,stop,84,patrol
17,3,2,left,83,patrol
18,4,2,right,82,patrol
19,5,2,right,81,patrol
20,4,2,left,80,patrol
21,5,2,right,79,patrol
22,5,3,up,78,patrol
23,5,2,down,77,patrol
24,6,2,right,76,patrol
25,6,3,up,75,patrol
26,5,3,left,74,patrol
27,5,3,stop,73,patrol
28,5,4,up,72,patrol
29,5,3,down,71,patrol
30,5,4,up,70,patrol
31,5,3,down,69,patrol
32,5,2,down,68,patrol
33,6,2,right,67,patrol
34,7,2,right,66,patrol
35,7,2,stop,65,patrol
36,7,3,up,64,patrol
37,7,4,up,63,patrol
38,7,5,up,62,patrol
39,8,5,right,61,patrol
40,8,6,up,60,patrol
41,7,6,left,59,patrol
42,7,5,down,58,patrol
43,8,5,right,57,patrol
44,8,4,down,56,patrol
45,9,4,right,55,patrol
46,8,4,left,54,patrol
47,8,3,down,53,patrol
48,7,3,left,52,patrol
49,7,4,up,51,patrol
50,8,4,right,50,patrol
51,8,3,down,49,patrol
52,9,3,right,48,patrol
53,8,3,left,47,patrol
54,7,3,left,46,patrol
55,6,3,left,45,patrol
56,7,3,right,44,patrol
57,7,4,up,43,patrol
58,8,4,right,42,patrol
59,8,5,up,41,patrol
60,9,5,right,40,patrol
61,10,5,right,39,patrol
62,10,4,down,38,patrol
63,10,5,up,37,patrol
64,11,5,right,36,patrol
65,12,5,right,35,patrol
66,13,5,right,34,patrol
67,14,5,right,33,patrol
68,15,5,right,32,patrol
69,14,5,left,31,patrol
70,15,5,right,30,patrol
71,16,5,right,29,patrol
72,16,6,up,28,patrol
73,15,6,left,27,patrol
74,14,6,left,26,patrol
75,14,7,up,25,patrol
76,13,7,left,24,patrol
77,13,8,up,23,patrol
78,13,9,up,22,patrol
79,13,8,down,21,patrol
80,13,9,up,20,patrol
81,12,9,left,19,low_battery_return
82,11,9,left,18,low_battery_return
83,10,9,left,17,low_battery_return
84,9,9,left,16,low_battery_return
85,8,9,left,15,low_battery_return
86,7,9,left,14,low_battery_return
87,6,9,left,13,low_battery_return
88,5,9,left,12,low_battery_return
89,4,9,left,11,low_battery_return
90,3,9,left,10,low_battery_return
91,2,9,left,9,low_battery_return
92,1,9,left,8,low_battery_return
93,0,9,left,7,low_battery_return
94,0,8,down,6,low_battery_return
95,0,7,down,5,low_battery_return
96,0,6,down,4,low_battery_return
97,0,5,down,3,low_battery_return
98,0,4,down,2,low_battery_return
99,0,3,down,1,low_battery_return
